시작연도,기간내고갈여부,고갈월,유지개월수,시작환율(원/달러),종료환율(원/달러),최종잔액(원),총인출액(원)
2002,True,2008-05,77,1313.5,1028.5,0.0,76710154.63790643
2003,False,-,120,1186.3,1063.24,65511277.31412092,120000000.0
2004,True,2013-06,114,1192.0,1141.45,0.0,113520472.46962702
2005,False,-,120,1035.1,1090.89,25010709.505401865,120000000.0
2006,False,-,120,1010.0,1169.26,63302789.63394618,120000000.0
2007,False,-,120,930.0,1203.73,110162537.49778722,120000000.0
2008,False,-,120,935.8,1067.42,90911519.64330891,120000000.0
2009,False,-,120,1262.0,1112.85,243402186.3189551,120000000.0
2010,False,-,120,1163.65,1155.46,190231509.28204525,120000000.0
2011,False,-,120,1130.6,1086.11,231923958.22353244,120000000.0
2012,False,-,120,1158.5,1188.59,361067761.5910161,120000000.0
2013,False,-,120,1063.24,1260.18,264227215.55665442,120000000.0
2014,False,-,120,1055.25,1290.97,268997394.31483686,120000000.0
2015,False,-,120,1090.89,1477.86,303194094.7770818,120000000.0
2016,False,-,120,1169.26,1444.55,312267341.15236944,120000000.0
